ticker,currency,exchange,sector,industry
IP,USD,New York Stock Exchange,Consumer Cyclical,Packaging & Containers
IPG,USD,New York Stock Exchange,Communication Services,Advertising Agencies
IPGP,USD,Nasdaq Global Select,Technology,Semiconductor Equipment & Materials
IQV,USD,New York Stock Exchange,Healthcare,Diagnostics & Research
IR,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
IRM,USD,New York Stock Exchange,Real Estate,REIT‚ Specialty
ISRG,USD,Nasdaq Global Select,Healthcare,Medical Instruments & Supplies
IT,USD,New York Stock Exchange,Technology,Information Technology Services
ITW,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
IVZ,USD,New York Stock Exchange,Financial Services,Asset Management
J,USD,New York Stock Exchange,Industrials,Engineering & Construction
JBHT,USD,Nasdaq Global Select,Industrials,Integrated Freight & Logistics
JCI,USD,New York Stock Exchange,Industrials,Engineering & Construction
JKHY,USD,Nasdaq Global Select,Technology,Information Technology Services
JNJ,USD,New York Stock Exchange,Healthcare,Drug Manufacturers‚ General
JNPR,USD,New York Stock Exchange,Technology,Communication Equipment
JPM,USD,New York Stock Exchange,Financial Services,Banks‚ Diversified
K,USD,New York Stock Exchange,Consumer Defensive,Packaged Foods
KEY,USD,New York Stock Exchange,Financial Services,Banks‚ Regional
KEYS,USD,New York Stock Exchange,Technology,Scientific & Technical Instruments
KHC,USD,Nasdaq Global Select,Consumer Defensive,Packaged Foods
KIM,USD,New York Stock Exchange,Real Estate,REIT‚ Retail
KLAC,USD,Nasdaq Global Select,Technology,Semiconductor Equipment & Materials
KMB,USD,New York Stock Exchange,Consumer Defensive,Household & Personal Products
KMI,USD,New York Stock Exchange,Energy,Oil & Gas Midstream
KMX,USD,New York Stock Exchange,Consumer Cyclical,Auto & Truck Dealerships
KO,USD,New York Stock Exchange,Consumer Defensive,Beverages‚ Non-Alcoholic
KR,USD,New York Stock Exchange,Consumer Defensive,Grocery Stores
KSU,USD,New York Stock Exchange,Industrials,Railroads
L,USD,New York Stock Exchange,Financial Services,Insurance‚ Property & Casualty
LB,USD,New York Stock Exchange,Consumer Cyclical,Apparel Retail
LDOS,USD,New York Stock Exchange,Technology,Information Technology Services
