date,operatingCashFlow,symbol,enterpriseValueMultiple,debtEquityRatio,operatingCashFlow_3y_percentile,enterpriseValueMultiple_3y_percentile,debtEquityRatio_3y_percentile,operatingCashFlow_ticker_decile,enterpriseValueMultiple_ticker_decile,debtEquityRatio_ticker_decile,sector,operatingCashFlow_sector_decile,enterpriseValueMultiple_sector_decile,debtEquityRatio_sector_decile,SP500,NQ,SP500_decile,NQ_decile,Total_Returns,operatingCashFlow_custom,enterpriseValueMultiple_custom,debtEquityRatio_custom,Total_Returns_custom,grades
2021-03-31,-845000.0,WIRE,20.89,0.1715,4,3,1,9.0,8.0,10.0,Industrials,9.0,9.0,9.0,False,False,,,0.1083044411424797,1.0,2.0,1.0,4.0,1
2021-06-30,35184000.0,WIRE,5.7952,0.1986,2,4,1,8.0,9.0,10.0,Industrials,8.0,9.0,9.0,False,False,,,0.1290034261879936,2.0,1.0,1.0,4.0,1
2021-09-30,196585000.0,WIRE,7.0372,0.1545,1,4,1,5.0,9.0,10.0,Industrials,5.0,9.0,10.0,False,False,,,0.2512204776355718,3.0,1.0,1.0,5.0,1
2021-12-31,187494000.0,WIRE,12.9694,0.143,1,3,2,6.0,9.0,10.0,Industrials,5.0,9.0,10.0,False,False,,,0.5090161341347674,3.0,1.0,1.0,5.0,1
2022-03-31,117707000.0,WIRE,8.4853,0.1498,1,4,2,6.0,9.0,10.0,Industrials,6.0,9.0,10.0,False,False,,,-0.2028651292802236,3.0,1.0,1.0,1.0,1
2019-03-31,33265000000.0,WIT,43.1364,0.4619,2,2,3,1.0,7.0,9.0,Technology,1.0,7.0,8.0,False,False,,,,5.0,2.0,1.0,,
2019-06-30,28753000000.0,WIT,47.9715,0.4731,3,1,2,1.0,6.0,9.0,Technology,1.0,7.0,8.0,False,False,,,,5.0,3.0,1.0,,
2019-09-30,27255000000.0,WIT,40.1324,0.5171,3,3,1,1.0,7.0,9.0,Technology,1.0,8.0,8.0,False,False,,,-0.1550925925925926,5.0,2.0,1.0,1.0,1
2019-12-31,30564000000.0,WIT,39.5773,0.5003,2,3,2,1.0,7.0,9.0,Technology,1.0,8.0,8.0,False,False,,,0.0273972602739726,5.0,2.0,1.0,3.0,2
2020-03-31,14071000000.0,WIT,33.8908,0.4623,4,4,3,1.0,7.0,9.0,Technology,1.0,8.0,8.0,False,False,,,-0.1733333333333333,5.0,2.0,1.0,1.0,1
2020-06-30,41812000000.0,WIT,34.3972,0.4317,1,4,4,1.0,7.0,9.0,Technology,1.0,8.0,8.0,False,False,,,0.0677419354838709,5.0,2.0,1.0,3.0,2
2020-09-30,85944000000.0,WIT,41.096,0.4268,1,2,4,1.0,7.0,9.0,Technology,1.0,7.0,8.0,False,False,,,0.419939577039275,5.0,2.0,1.0,5.0,3
2020-12-31,0.0,WIT,57.9043,0.7381,4,1,1,9.0,5.0,8.0,Technology,9.0,6.0,7.0,False,False,,,0.2021276595744681,1.0,3.0,2.0,5.0,2
2019-03-31,35074000.0,WIX,-226.625,5.0071,2,3,3,8.0,10.0,2.0,Technology,7.0,9.0,1.0,False,False,,,,2.0,1.0,5.0,,
2019-06-30,37180000.0,WIX,-650.8088,4.7759,1,4,3,8.0,10.0,2.0,Technology,7.0,10.0,1.0,False,False,,,,2.0,1.0,5.0,,
2019-09-30,36073000.0,WIX,-393.1947,4.2128,2,4,4,8.0,10.0,2.0,Technology,7.0,10.0,1.0,False,False,,,-0.1837505244021816,2.0,1.0,5.0,1.0,1
2019-12-31,41237000.0,WIX,-437.5616,4.2932,1,4,4,8.0,10.0,2.0,Technology,7.0,10.0,1.0,False,False,,,0.0483124892924447,2.0,1.0,5.0,3.0,2
2020-03-31,45027000.0,WIX,-163.751,4.5224,1,2,3,8.0,10.0,2.0,Technology,7.0,9.0,1.0,False,False,,,-0.1761725772184997,2.0,1.0,5.0,1.0,1
